Date,Production (kWh),maxtempC,mintempC,sunHour,cloudcover,tempC,FeelsLikeC,humidity,windSpeedKmph,precipMM,weatherDesc
2018-05-03 11:15:00,190.0,22,15,14.0,6,21,21,57,11,0.0,Sunny
2018-05-03 11:30:00,170.0,22,15,14.0,6,21,21,57,11,0.0,Sunny
2018-05-03 11:45:00,210.0,22,15,14.0,6,21,21,57,11,0.0,Sunny
2018-05-03 12:00:00,210.0,22,15,14.0,5,21,21,55,13,0.0,Sunny
2018-05-03 12:15:00,250.0,22,15,14.0,5,21,21,55,13,0.0,Sunny
2018-05-03 12:30:00,190.0,22,15,14.0,5,21,21,55,13,0.0,Sunny
2018-05-03 12:45:00,220.0,22,15,14.0,5,21,21,55,13,0.0,Sunny
2018-05-03 13:00:00,230.0,22,15,14.0,5,22,22,57,15,0.0,Sunny
2018-05-03 13:15:00,230.0,22,15,14.0,5,22,22,57,15,0.0,Sunny
2018-05-03 13:30:00,220.0,22,15,14.0,5,22,22,57,15,0.0,Sunny
2018-05-03 13:45:00,220.0,22,15,14.0,5,22,22,57,15,0.0,Sunny
2018-05-03 14:00:00,200.0,22,15,14.0,5,21,21,59,18,0.0,Sunny
2018-05-03 14:15:00,230.0,22,15,14.0,5,21,21,59,18,0.0,Sunny
2018-05-03 14:30:00,240.0,22,15,14.0,5,21,21,59,18,0.0,Sunny
2018-05-03 14:45:00,200.0,22,15,14.0,5,21,21,59,18,0.0,Sunny
2018-05-03 15:00:00,210.0,22,15,14.0,5,21,21,61,21,0.0,Sunny
2018-05-03 15:15:00,210.0,22,15,14.0,5,21,21,61,21,0.0,Sunny
2018-05-03 15:30:00,180.0,22,15,14.0,5,21,21,61,21,0.0,Sunny
2018-05-03 15:45:00,170.0,22,15,14.0,5,21,21,61,21,0.0,Sunny
2018-05-03 16:00:00,120.0,22,15,14.0,5,20,20,63,21,0.0,Sunny
2018-05-03 16:15:00,200.0,22,15,14.0,5,20,20,63,21,0.0,Sunny
2018-05-03 16:30:00,160.0,22,15,14.0,5,20,20,63,21,0.0,Sunny
2018-05-03 16:45:00,120.0,22,15,14.0,5,20,20,63,21,0.0,Sunny
2018-05-03 17:00:00,140.0,22,15,14.0,5,19,19,66,21,0.0,Sunny
2018-05-03 17:15:00,150.0,22,15,14.0,5,19,19,66,21,0.0,Sunny
2018-05-03 17:30:00,60.0,22,15,14.0,5,19,19,66,21,0.0,Sunny
2018-05-03 17:45:00,110.0,22,15,14.0,5,19,19,66,21,0.0,Sunny
2018-05-03 18:00:00,70.0,22,15,14.0,5,19,19,68,21,0.0,Clear
2018-05-03 18:15:00,60.0,22,15,14.0,5,19,19,68,21,0.0,Clear
2018-05-03 18:30:00,60.0,22,15,14.0,5,19,19,68,21,0.0,Clear
2018-05-03 18:45:00,20.0,22,15,14.0,5,19,19,68,21,0.0,Clear
2018-05-03 19:00:00,20.0,22,15,14.0,5,18,18,69,19,0.0,Clear
2018-05-03 19:15:00,20.0,22,15,14.0,5,18,18,69,19,0.0,Clear
2018-05-03 19:30:00,0.0,22,15,14.0,5,18,18,69,19,0.0,Clear
2018-05-03 19:45:00,0.0,22,15,14.0,5,18,18,69,19,0.0,Clear
2018-05-03 20:00:00,0.0,22,15,14.0,4,17,17,70,17,0.0,Clear
2018-05-03 20:15:00,0.0,22,15,14.0,4,17,17,70,17,0.0,Clear
2018-05-03 20:30:00,0.0,22,15,14.0,4,17,17,70,17,0.0,Clear
2018-05-03 20:45:00,0.0,22,15,14.0,4,17,17,70,17,0.0,Clear
2018-05-03 21:00:00,0.0,22,15,14.0,4,17,17,71,15,0.0,Clear
2018-05-03 21:15:00,0.0,22,15,14.0,4,17,17,71,15,0.0,Clear
2018-05-03 21:30:00,0.0,22,15,14.0,4,17,17,71,15,0.0,Clear
2018-05-03 21:45:00,0.0,22,15,14.0,4,17,17,71,15,0.0,Clear
2018-05-04 04:55:00,0.0,21,15,15.0,4,15,15,77,16,0.0,Clear
2018-05-04 05:00:00,0.0,21,15,15.0,4,16,15,74,15,0.0,Clear
2018-05-04 05:15:00,0.0,21,15,15.0,4,16,15,74,15,0.0,Clear
2018-05-04 05:30:00,0.0,21,15,15.0,4,16,15,74,15,0.0,Clear
2018-05-04 05:45:00,0.0,21,15,15.0,4,16,15,74,15,0.0,Clear
2018-05-04 06:00:00,0.0,21,15,15.0,5,16,16,71,15,0.0,Sunny
2018-05-04 06:15:00,0.0,21,15,15.0,5,16,16,71,15,0.0,Sunny
2018-05-04 06:30:00,0.0,21,15,15.0,5,16,16,71,15,0.0,Sunny
2018-05-04 06:45:00,0.0,21,15,15.0,5,16,16,71,15,0.0,Sunny
2018-05-04 07:00:00,0.0,21,15,15.0,5,17,17,67,15,0.0,Sunny
2018-05-04 07:15:00,0.0,21,15,15.0,5,17,17,67,15,0.0,Sunny
